"Table with row headers in column A and column headers in rows 8 through 9, 12 through 13, 19 through 20, 35 through 36, 47 through 48, 60 through 61, 71 through 72, 81 through 82, 95 through 96, and 109 through 110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINC-01. Selected Characteristics of Households by Total Money Income in 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar22.pdf>.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2022 Annual Social and Economic Supplement (CPS ASEC).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Numbers in thousands. Households as of March of the following year. A.O.I.C. stands for alone or in combination. Median income is calculated using $2,500 intervals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Gini index is calculated using micro-sorted data. Medians falling in the upper open-ended interval are plugged with ""$250,000"". Standard errors calculated using replicate weights)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Races,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characteristic,Total,"Under $5,000","$5,000 to $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $64,999","$65,000 to $69,999","$70,000 to $74,999","$75,000 to $79,999","$80,000 to $84,999","$85,000 to $89,999","$90,000 to $94,999","$95,000 to $99,999","$100,000 to $104,999","$105,000 to $109,999","$110,000 to $114,999","$115,000 to $119,999","$120,000 to $124,999","$125,000 to $129,999","$130,000 to $134,999","$135,000 to $139,999","$140,000 to $144,999","$145,000 to $149,999","$150,000 to $154,999","$155,000 to $159,999","$160,000 to $164,999","$165,000 to $169,999","$170,000 to $174,999","$175,000 to $179,999","$180,000 to $184,999","$185,000 to $189,999","$190,000 to $194,999","$195,000 to $199,999","$200,000 and over",Median income,,Mean income,,Gini ratio,,Income per household member,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Value   (Dol.),Standard error (Dol.),Value   (Dol.),Standard error (Dol.),Ratio,Standard error,Value   (Dol.),Standard error
All households,"131,202","4,299","2,658","5,309","5,202","5,412","5,065","5,203","4,927","4,998","4,423","4,972","4,277","4,440","3,725","3,818","3,601","3,426","3,059","2,943","2,530","3,213","2,524","2,387","2,049","2,156","1,847","1,894","1,655","1,770","1,356","1,646","1,275","1,277","1,058","1,141",966,"1,019",950,758,735,"15,237","70,784",368,"102,316",626,0.494,0.0023,"40,857",252
Type of Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inside metropolitan statistical areas,"113,267","3,625","2,165","4,151","4,147","4,465","4,238","4,257","4,118","4,210","3,737","4,259","3,672","3,789","3,202","3,244","3,036","2,971","2,625","2,545","2,149","2,828","2,237","2,093","1,766","1,921","1,613","1,703","1,495","1,612","1,207","1,433","1,127","1,155",957,"1,042",862,945,874,694,667,"14,430","73,823",572,"106,804",733,0.493,0.0024,"42,285",292
..Inside principal cities,"43,625","1,820","1,061","1,988","1,724","1,890","1,810","1,774","1,760","1,789","1,549","1,776","1,388","1,520","1,187","1,202","1,123","1,131",971,897,739,933,781,721,627,713,558,514,459,548,410,489,375,453,348,333,320,350,265,219,203,"4,905","64,839",914,"99,390","1,354",0.515,0.0039,"41,406",569
..Outside principal cities,"69,642","1,805","1,104","2,163","2,423","2,576","2,428","2,483","2,359","2,421","2,188","2,482","2,284","2,269","2,015","2,042","1,913","1,839","1,654","1,648","1,410","1,896","1,456","1,372","1,139","1,207","1,055","1,189","1,036","1,064",797,944,752,701,609,710,542,595,609,475,464,"9,525","79,599",674,"111,449",889,0.477,0.0026,"42,793",329
Outside metropolitan statistical areas,"17,935",674,492,"1,158","1,055",947,826,946,809,789,686,713,605,651,522,574,565,455,434,398,381,385,287,294,283,235,234,191,160,159,149,213,148,122,101,99,104,74,76,64,68,807,"53,750","1,231","73,971","1,243",0.474,0.0053,"31,234",536
Region/Divisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast,"22,640",689,393,952,853,907,933,787,737,821,663,770,645,723,559,616,490,525,470,500,396,566,427,379,354,407,269,333,298,365,238,270,270,269,177,212,154,196,191,193,160,"3,486","77,472","1,644","115,029","1,720",0.504,0.0050,"46,395",689
..New England,"6,219",152,101,196,225,248,246,233,182,201,176,197,165,193,180,180,146,155,125,125,113,142,117,94,100,105,83,105,106,92,72,102,90,85,53,49,52,51,37,48,44,"1,051","82,207","2,172","124,001","3,073",0.505,0.0072,"51,843","1,207"
